sample_date,site_name,watercourse,freshwater_body_type,latitude,longitude,distance_to_conham_mi,upstream_of_conham,group_name,mncat_name,county,nitrate_mgL,phosphate_mgL,secchi_turbidity,rain_last_24h,pollution_sources,main_land_use,notes
2014-03-29,Brislington Brook,Brislington Brook,Stream,51.2636000000001,-2.32469999999995,15.46,True,HSBC UK,Avon Bristol and Somerset North Streams,Somerset,1.5,0.15,<14_NTU,,None,Other,None
2014-08-23,"Brislington Brook, BS4 4DY",Brislington Brook,Stream,51.4465775,-2.54624419999993,0.51,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,<14_NTU,,Other,Other,None
2015-02-01,Brislington brook,Brislington Brook,Stream,51.4439085500001,-2.54628321199993,0.5,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,<14_NTU,,None,Urban_residential,At first glance water appears murkier than usual.
2015-02-01,Brislington brook,Brislington Brook,Stream,51.4439085500001,-2.54628321199993,0.5,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,<14_NTU,,None,Urban_residential,At first glance water appears murkier than usual.
2015-02-01,Brislington brook,Brislington Brook,Stream,51.4439085500001,-2.54628321199993,0.5,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,<14_NTU,,None,Urban_residential,At first glance water appears murkier than usual.
2015-03-22,Brislington brook,Brislington Brook,Stream,51.4439606000001,-2.54620031499997,0.49,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,<14_NTU,,None,Urban_residential,More litter than usual. Heavy plant work being carried out further downstream. Kingfisher flew past
2015-03-22,Brislington brook,Brislington Brook,Stream,51.4439606000001,-2.54620031499997,0.49,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,<14_NTU,,None,Urban_residential,More litter than usual. Heavy plant work being carried out further downstream. Kingfisher flew past
2015-09-09,Brislington brook,Brislington Brook,Stream,51.4425046200001,-2.55691070999995,0.97,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.035,<14_NTU,,None,Urban_residential,None
2015-09-14,Swill Brook - Swill Brook Bridge,Swill Brook,Stream,51.6380530000001,-1.97726579999994,27.43,True,Thames WaterBlitz,Gloucestershire and the Vale,Wiltshire,1.5,0.075,None,,None,None,"Rained overnight and recently. River is low no flow, frequent dry patches, water ponded"
2015-09-14,Flagham Brook,Flagham Brook,Stream,51.643268,-1.97654069999993,27.63,True,Thames WaterBlitz,Gloucestershire and the Vale,Wiltshire,1.5,0.075,None,,None,None,Rained overnight and currently
2015-09-14,Thames at Neigh Bridge,Other / unnamed,River,51.6519890000001,-1.97711439999995,27.91,True,Thames WaterBlitz,Gloucestershire and the Vale,Gloucestershire,1.5,0.035,None,,None,None,Rained overnight & currently raining river very low
