date,ecoli_cfu_per_100ml,intestinal_enterococci_cfu_per_100ml,cso_spill_hours_sameday,cso_spill_hours_2d,cso_spill_hours_7d,rain_mm,peak_rain_mm_per_h,temp_mean_c,wind_max_kmh,cape_max_j_per_kg
2025-05-14,,,0.0,0.9,1.8,0.0,0.0,14.7,,140.0
2025-05-15,,,0.0,0.0,1.8,0.0,0.0,12.8,,100.0
2025-05-16,,,0.0,0.0,1.8,0.0,0.0,14.4,,110.0
2025-05-17,,,0.0,0.0,1.8,0.0,0.0,13.3,,80.0
2025-05-18,,,0.0,0.0,0.9,0.0,0.0,13.9,,100.0
2025-05-19,,,0.0,0.0,0.9,0.2,0.2,13.0,,120.0
2025-05-20,,,0.0,0.0,0.0,0.9,0.1,14.9,,200.0
2025-05-21,,,2.1,2.1,2.1,16.9,6.7,13.9,,1130.0
2025-05-22,10.0,10,0.0,2.1,2.1,0.0,0.7,14.5,,490.0
2025-05-23,,,0.0,0.0,2.1,0.7,0.5,14.2,,180.0
2025-05-24,,,0.0,0.0,2.1,4.3,1.6,15.4,,120.0
2025-05-25,,,0.4,0.4,2.5,2.3,4.1,14.1,,150.0
2025-05-26,,,0.1,0.5,2.6,6.3,3.8,13.3,,160.0
2025-05-27,,,9.3,9.5,12.0,10.4,4.3,14.4,,200.0
2025-05-28,,,0.0,9.3,9.9,3.1,2.1,14.4,,370.0
2025-05-29,,,0.0,0.0,9.9,3.9,2.0,16.0,,110.0
2025-05-30,,,0.0,0.0,9.9,0.6,0.2,16.5,,160.0
2025-05-31,,,0.0,0.0,9.9,0.3,0.2,16.5,,460.0
2025-06-01,,,0.0,0.0,9.5,0.7,0.4,14.3,,250.0
2025-06-02,,,0.0,0.0,9.3,0.0,0.2,13.9,,210.0
2025-06-03,,,4.2,4.2,4.2,5.3,2.3,13.6,,250.0
2025-06-04,,,0.0,4.2,4.2,1.6,1.0,13.2,,200.0
2025-06-05,,,5.8,5.8,10.1,5.6,4.3,13.4,,230.0
2025-06-06,,,0.0,5.8,10.1,4.7,2.3,12.9,,260.0
2025-06-07,,,15.9,15.9,26.1,7.5,4.0,12.1,,490.0
2025-06-08,,,0.0,15.9,26.1,0.0,0.1,12.3,,140.0
2025-06-09,,,0.0,0.0,26.1,1.4,0.7,14.2,,110.0
2025-06-10,,,0.0,0.0,21.8,1.6,0.6,15.8,,90.0
2025-06-11,,,0.0,0.0,21.8,0.0,0.1,17.7,,80.0
2025-06-12,,,15.9,15.9,31.9,6.1,6.0,17.2,,1390.0
2025-06-13,,,0.0,15.9,31.9,4.9,3.3,18.5,,360.0
2025-06-14,,,3.2,3.2,19.2,2.0,4.2,16.1,,450.0
2025-06-15,,,0.0,3.2,19.2,0.0,0.1,15.3,,710.0
2025-06-16,,,0.0,0.0,19.2,0.4,0.2,16.4,,90.0
2025-06-17,140.0,8,0.0,0.0,19.2,0.0,0.0,16.1,,70.0
2025-06-18,,,0.0,0.0,19.2,0.0,0.0,18.6,,100.0
2025-06-19,,,0.0,0.0,3.2,0.0,0.0,22.1,,1440.0
2025-06-20,,,0.0,0.0,3.2,0.0,0.0,23.2,,1460.0
2025-06-21,,,0.0,0.0,0.0,1.2,2.3,23.1,,2210.0
2025-06-22,,,0.0,0.0,0.0,3.6,1.0,18.0,,320.0
2025-06-23,,,0.0,0.0,0.0,1.2,3.6,15.7,,140.0
2025-06-24,,,0.0,0.0,0.0,3.0,3.8,17.4,,100.0
2025-06-25,,,0.0,0.0,0.0,0.3,0.2,19.2,,190.0
2025-06-26,,,0.0,0.0,0.0,3.7,3.3,16.8,,120.0
2025-06-27,,,0.0,0.0,0.0,1.5,1.4,19.3,,100.0
2025-06-28,,,0.0,0.0,0.0,0.9,0.5,20.2,,320.0
2025-06-29,,,0.0,0.0,0.0,0.3,0.2,20.3,,360.0
2025-06-30,,,0.0,0.0,0.0,0.3,0.2,22.5,,2280.0
2025-07-01,,,0.0,0.0,0.0,0.0,0.2,21.0,,2230.0
2025-07-02,,,0.0,0.0,0.0,0.2,0.2,18.3,,240.0
2025-07-03,,,0.0,0.0,0.0,0.0,0.0,16.7,,200.0
2025-07-04,,,0.0,0.0,0.0,0.0,0.0,17.5,,150.0
2025-07-05,,,0.2,0.2,0.2,4.5,2.0,17.4,,600.0
2025-07-06,,,0.3,0.5,0.5,1.4,4.8,17.9,,1010.0
2025-07-07,,,0.0,0.3,0.5,2.0,1.4,16.9,,150.0
2025-07-08,,,0.0,0.0,0.5,0.0,0.0,16.6,,120.0
2025-07-09,85.0,8,0.0,0.0,0.5,0.0,0.4,19.8,,370.0
2025-07-10,,,0.0,0.0,0.5,0.0,0.0,22.9,,830.0
2025-07-11,,,0.0,0.0,0.5,0.0,0.0,25.3,,1230.0
2025-07-12,,,0.0,0.0,0.3,0.0,0.0,25.1,,1090.0
2025-07-13,,,0.0,0.0,0.0,0.0,0.0,23.2,,160.0
2025-07-14,,,2.6,2.6,2.6,0.7,1.6,19.0,,410.0
2025-07-15,,,0.6,3.2,3.2,8.4,2.7,15.9,,140.0
2025-07-16,,,0.0,0.6,3.2,1.0,0.7,18.4,,120.0
2025-07-17,,,0.0,0.0,3.2,1.4,0.9,19.9,,640.0
2025-07-18,,,0.0,0.0,3.2,0.7,0.5,19.1,,1320.0
2025-07-19,,,0.0,0.0,3.2,1.0,0.7,18.9,,230.0
2025-07-20,,,16.6,16.6,19.8,3.4,3.4,17.4,,1850.0
2025-07-21,95.0,10,0.0,16.6,17.2,0.6,1.4,16.1,,1120.0
2025-07-22,,,0.0,0.0,16.6,0.8,1.1,17.6,,350.0
2025-07-23,,,0.0,0.0,16.6,1.1,0.6,17.8,,1030.0
2025-07-24,,,0.0,0.0,16.6,0.8,0.4,18.4,,140.0
2025-07-25,,,0.0,0.0,16.6,0.0,0.0,19.0,,130.0
2025-07-26,620.0,90,0.0,0.0,16.6,0.9,0.7,18.8,,510.0
2025-07-27,,,0.0,0.0,0.0,1.2,1.0,16.5,,470.0
2025-07-28,,,0.0,0.0,0.0,0.3,0.8,17.5,,240.0
2025-07-29,,,4.5,4.5,4.5,3.7,5.5,18.0,,560.0
2025-07-30,,,0.0,4.5,4.5,0.2,0.3,18.4,,190.0
2025-07-31,,,10.4,10.4,14.8,17.1,14.9,18.2,,2490.0
2025-08-01,,,0.0,10.4,14.8,0.0,0.2,15.9,,170.0
2025-08-02,85.0,80,0.0,0.0,14.8,0.1,0.1,16.1,,120.0
2025-08-03,,,0.0,0.0,14.8,1.1,0.5,18.0,,840.0
2025-08-04,,,0.3,0.3,15.2,5.2,2.4,18.2,,210.0
2025-08-05,,,0.0,0.3,10.7,0.0,0.0,16.3,,140.0
2025-08-06,,,0.0,0.0,10.7,0.0,0.0,16.7,,100.0
2025-08-07,,,0.2,0.2,0.5,3.0,1.2,17.0,,110.0
2025-08-08,,,0.0,0.2,0.5,0.1,0.2,17.2,,90.0
2025-08-09,490.0,160,0.0,0.0,0.5,0.2,0.2,17.4,,130.0
2025-08-10,,,1.3,1.3,1.8,0.0,0.0,19.4,,90.0
2025-08-11,,,0.0,1.3,1.5,0.2,0.5,21.3,,90.0
2025-08-12,,,0.0,0.0,1.5,0.3,2.4,23.7,,1170.0
2025-08-13,,,0.0,0.0,1.5,0.0,0.1,20.0,,870.0
2025-08-14,,,0.0,0.0,1.3,0.3,0.2,19.3,,140.0
2025-08-15,,,0.0,0.0,1.3,0.0,0.0,21.4,,150.0
2025-08-16,145.0,220,0.0,0.0,1.3,0.0,0.0,20.2,,90.0
2025-08-17,,,0.0,0.0,0.0,0.0,0.0,19.1,,80.0
2025-08-18,,,0.0,0.0,0.0,0.0,0.0,19.5,,70.0
2025-08-19,,,0.0,0.0,0.0,0.0,0.5,19.5,,80.0
2025-08-20,,,0.0,0.0,0.0,0.2,0.3,16.3,,70.0
2025-08-21,,,0.0,0.0,0.0,0.0,0.2,15.9,,90.0
2025-08-22,,,0.0,0.0,0.0,0.0,0.0,16.6,,110.0
2025-08-23,20.0,30,0.0,0.0,0.0,0.0,0.0,18.5,,50.0
2025-08-24,,,0.0,0.0,0.0,0.0,0.0,19.1,,120.0
2025-08-25,,,0.0,0.0,0.0,0.0,0.0,20.6,,140.0
2025-08-26,,,0.0,0.0,0.0,5.9,9.8,18.1,,170.0
2025-08-27,,,12.7,12.7,12.7,7.5,8.3,16.6,,1580.0
2025-08-28,,,18.5,31.2,31.2,3.7,5.5,15.3,,800.0
2025-08-29,,,0.6,19.1,31.8,12.3,5.6,15.6,,1140.0
2025-08-30,20.0,70,0.9,1.5,32.7,4.5,3.3,16.1,,110.0
2025-08-31,,,6.0,6.9,38.6,3.4,4.1,15.3,,1000.0
2025-09-01,,,1.0,7.0,39.6,1.7,4.9,15.3,,630.0
2025-09-02,,,9.7,10.7,49.3,4.2,1.4,15.3,,540.0
2025-09-03,,,12.0,21.7,48.6,11.4,7.0,16.4,,1080.0
2025-09-04,,,19.4,31.3,49.5,7.0,7.1,14.5,,890.0
2025-09-05,,,0.0,19.4,48.9,0.3,0.4,15.2,,120.0
2025-09-06,470.0,460,0.0,0.0,48.0,0.0,0.0,17.1,,120.0
2025-09-07,,,62.3,62.3,104.3,6.3,8.2,17.8,,580.0
2025-09-08,,,1.8,64.1,105.2,2.3,3.3,13.5,,960.0
2025-09-09,,,0.0,1.8,95.5,1.9,5.1,14.2,,370.0
2025-09-10,,,1.4,1.4,84.9,3.8,4.7,14.3,,300.0
2025-09-11,,,14.7,16.0,80.2,7.0,3.3,12.5,,730.0
2025-09-12,,,84.5,99.2,164.7,8.6,8.4,12.3,,710.0
2025-09-13,1000.0,620,1.2,85.8,165.9,1.2,5.8,12.8,,920.0
2025-09-14,,,28.4,29.6,132.0,12.2,5.7,13.1,,230.0
2025-09-15,,,29.4,57.8,159.6,4.9,3.6,14.0,,560.0
2025-09-16,,,0.1,29.5,159.7,1.3,1.1,13.7,,80.0
2025-09-17,,,0.0,0.1,158.3,8.9,2.8,16.1,,10.0
2025-09-18,,,0.0,0.0,143.6,3.2,0.7,17.9,,230.0
2025-09-19,,,0.0,0.0,59.1,0.0,0.0,16.9,,460.0
2025-09-20,100.0,620,0.0,0.0,57.9,2.5,3.8,14.8,,370.0
2025-09-21,,,0.0,0.0,29.5,0.0,0.0,10.8,,90.0
2025-09-22,,,0.0,0.0,0.1,0.0,0.0,9.1,,90.0
2025-09-23,,,0.0,0.0,0.0,0.0,0.0,9.7,,60.0
2025-09-24,,,0.0,0.0,0.0,0.0,0.2,10.9,,90.0
2025-09-25,,,0.0,0.0,0.0,0.0,0.0,11.2,,80.0
2025-09-26,,,0.0,0.0,0.0,0.0,0.1,10.5,,40.0
2025-09-27,1000.0,250,0.0,0.0,0.0,4.2,1.9,12.3,,100.0
2025-09-28,,,0.0,0.0,0.0,1.5,4.0,13.5,,110.0
2025-09-29,,,0.0,0.0,0.0,0.0,0.0,11.0,,60.0
2025-09-30,,,0.0,0.0,0.0,0.0,0.0,11.9,,50.0
2025-10-01,,,0.0,0.0,0.0,0.0,0.0,13.6,,40.0
2025-10-02,,,0.0,0.0,0.0,1.9,3.2,14.0,,30.0
2025-10-03,,,18.7,18.7,18.7,21.4,5.3,16.0,,50.0
2025-10-04,240.0,50,0.6,19.3,19.3,3.3,3.6,11.8,,300.0
2025-10-05,,,0.0,0.6,19.3,0.1,0.2,12.2,,90.0
2025-10-06,,,0.0,0.0,19.3,0.0,0.1,13.8,,30.0
2025-10-07,,,0.0,0.0,19.3,0.0,0.1,13.2,,40.0
2025-10-08,,,0.0,0.0,19.3,0.5,0.8,13.4,,80.0
2025-10-09,,,0.0,0.0,19.3,0.0,0.0,11.5,,20.0
2025-10-10,,,0.0,0.0,0.6,0.2,0.1,12.6,,20.0
2025-10-11,110.0,10,0.0,0.0,0.0,0.0,0.0,11.4,,20.0
2025-10-12,,,0.0,0.0,0.0,0.0,0.0,9.2,,20.0
2025-10-13,,,0.0,0.0,0.0,0.0,0.1,12.3,,20.0
2025-10-14,,,0.0,0.0,0.0,0.0,0.1,12.1,,10.0
2025-10-15,,,0.0,0.0,0.0,0.0,0.0,10.6,,20.0
2025-10-16,,,0.0,0.0,0.0,0.0,0.1,11.4,,30.0
2025-10-17,,,0.0,0.0,0.0,0.0,0.2,12.5,,80.0
2025-10-18,220.0,10,0.0,0.0,0.0,1.7,0.7,11.8,,30.0
2025-10-19,,,11.4,11.4,11.4,12.2,6.0,13.3,,90.0
2025-10-20,,,5.8,17.3,17.3,5.9,5.2,12.8,,740.0
2025-10-21,,,0.3,6.1,17.6,1.4,2.3,12.0,,150.0
2025-10-22,,,0.0,0.3,17.6,7.0,2.6,10.7,,140.0
2025-10-23,,,6.2,6.2,23.8,4.5,2.6,8.3,,100.0
2025-10-24,,,17.4,23.6,41.1,3.2,1.8,8.5,,200.0
2025-10-25,180.0,70,0.0,17.4,41.2,1.0,4.0,8.6,,110.0
2025-10-26,,,0.0,0.0,29.7,0.6,3.2,8.6,,40.0
2025-10-27,,,0.0,0.0,23.9,0.8,0.4,11.4,,60.0
2025-10-28,,,0.0,0.0,23.6,1.1,0.7,11.9,,80.0
2025-10-29,,,0.1,0.1,23.7,3.5,1.4,10.1,,150.0
2025-10-30,,,0.5,0.7,18.1,3.3,1.3,10.3,,10.0
2025-10-31,,,13.3,13.9,14.1,6.2,4.2,13.3,,670.0
2025-11-01,330.0,160,2.7,16.1,16.7,8.0,3.6,10.3,,620.0
2025-11-02,,,0.3,3.0,17.0,3.8,3.3,8.8,,120.0
2025-11-03,,,0.0,0.3,17.0,0.4,1.3,13.3,,60.0
2025-11-04,,,0.0,0.0,17.0,3.1,2.8,14.3,,20.0
2025-11-05,,,0.0,0.0,16.9,1.3,2.3,15.0,,0.0
2025-11-06,,,0.0,0.0,16.3,0.1,0.4,14.0,,160.0
2025-11-07,,,4.2,4.2,7.2,4.1,6.5,12.2,,90.0
2025-11-08,370.0,370,0.0,4.2,4.5,0.0,0.1,10.7,,410.0
2025-11-09,,,2.7,2.7,7.0,3.3,15.4,11.3,,60.0
2025-11-10,,,37.0,39.7,44.0,6.7,3.7,10.6,,650.0
2025-11-11,,,72.3,109.3,116.2,10.4,3.5,12.5,,70.0
2025-11-12,,,92.7,164.9,208.9,8.6,4.2,13.7,,100.0
2025-11-13,,,321.6,414.2,530.5,9.2,3.6,13.2,,160.0
2025-11-14,,,983.3,1304.8,1509.5,38.5,7.2,12.1,,150.0
2025-11-15,,,2.7,985.9,1512.2,1.6,1.1,11.4,,80.0
2025-11-16,,,5.6,8.3,1515.1,0.3,0.1,8.5,,30.0
2025-11-17,,,15.4,21.1,1493.5,0.0,0.0,3.8,,40.0
2025-11-18,,,19.6,35.0,1440.8,1.7,1.0,4.3,,60.0
2025-11-19,,,12.8,32.4,1361.0,1.5,3.4,3.2,,30.0
2025-11-20,,,25.8,38.6,1065.2,0.0,0.0,1.5,,30.0
2025-11-21,,,17.4,43.2,99.3,0.0,0.0,1.1,,10.0
2025-11-22,1000.0,320,86.7,104.1,183.4,10.4,7.0,6.6,,10.0
2025-11-23,,,54.2,140.9,231.9,3.1,4.9,7.5,,130.0
2025-11-24,,,11.2,65.3,227.7,4.0,2.5,6.3,,20.0
2025-11-25,,,21.1,32.3,229.2,0.0,0.0,4.3,,20.0
2025-11-26,,,38.9,60.1,255.3,1.2,1.4,3.8,,0.0
2025-11-27,,,37.2,76.1,266.7,0.6,0.5,11.6,,20.0
2025-11-28,,,30.0,67.2,279.3,0.9,0.7,9.4,,30.0
2025-11-29,10.0,10,46.5,76.5,239.1,8.6,2.7,8.1,,190.0
2025-11-30,,,28.1,74.6,213.0,0.3,0.1,5.6,,40.0
2025-12-01,,,938.6,966.7,1140.5,21.2,4.1,10.6,,60.0
2025-12-02,,,29.5,968.1,1148.8,0.0,0.7,6.8,,220.0
2025-12-03,,,24.9,54.4,1134.8,0.0,2.2,5.8,,250.0
2025-12-04,450.0,160,448.1,473.1,1545.7,8.4,3.2,6.3,,110.0
2025-12-05,,,31.8,479.8,1547.5,8.9,7.9,6.5,,80.0
2025-12-06,,,33.7,65.5,1534.7,6.0,1.3,9.6,,70.0
2025-12-07,,,46.9,80.6,1553.5,7.0,2.6,11.1,,30.0
2025-12-08,,,41.9,88.7,656.7,3.7,5.6,11.5,,80.0
2025-12-09,,,195.5,237.4,822.7,17.5,5.6,12.5,,70.0
2025-12-10,,,32.1,227.6,829.9,0.1,1.7,9.6,,240.0
2025-12-11,1000.0,1000,9.5,41.6,391.3,0.0,0.2,9.5,,30.0
2025-12-12,,,30.5,40.0,390.1,3.3,3.7,9.0,,30.0
2025-12-13,,,35.3,65.8,391.7,0.0,0.0,6.6,,30.0
2025-12-14,,,11.1,46.4,355.9,0.0,0.3,9.6,,20.0
2025-12-15,,,436.2,447.2,750.2,21.1,5.3,10.5,,40.0
2025-12-16,,,218.0,654.1,772.6,10.9,6.5,6.6,,30.0
2025-12-17,,,99.7,317.7,840.3,6.4,2.5,7.2,,0.0
