site_id,site_name,receiving_watercourse,event_start,event_end,duration_hours
WXW00879,BRISTOL PORTWAY NEAR RAILWAY,RIVER AVON VIA SWS,2025-01-01T08:44:00+00:00,2025-01-01T08:54:00+00:00,0.1667
WXW01228,BRISTOL PORTWAY UNDER AVON BRIDGE,RIVER AVON,2025-01-01T09:00:00+00:00,2025-01-01T09:30:00+00:00,0.5
WXW00879,BRISTOL PORTWAY NEAR RAILWAY,RIVER AVON VIA SWS,2025-01-01T09:10:00+00:00,2025-01-01T09:30:00+00:00,0.3333
WXW00864,BRISTOL HANHAM POLLY BARNES HILL,RIVER AVON (VIA SWS),2025-01-01T09:29:00+00:00,2025-01-01T09:41:00+00:00,0.2
WXW00826,BATH DURLEY PARK / OLDFIELD LANE JUNCTION,RIVER AVON VIA SWS,2025-01-01T09:42:00+00:00,2025-01-01T09:44:00+00:00,0.0333
WXW01228,BRISTOL PORTWAY UNDER AVON BRIDGE,RIVER AVON,2025-01-01T09:45:00+00:00,2025-01-01T11:15:00+00:00,1.5
WXW01211,BATH WELLSWAY NR 372,RIVER AVON,2025-01-01T09:46:00+00:00,2025-01-01T09:52:00+00:00,0.1
WXW00150,BATH BLOOMFIELD ROAD NO 33 JUNCTION WITH HENSLEY ROAD,RIVER AVON VIA SWS,2025-01-01T09:50:00+00:00,2025-01-01T09:58:00+00:00,0.1333
WXW00888,BATH PRIOR PARK ROAD,RIVER AVON VIA SWS,2025-01-01T09:52:00+00:00,2025-01-01T10:06:00+00:00,0.2333
WXW00686,BRADFORD-ON-AVON MARKET ST JUNCTION WITH CHURCH ST,RIVER AVON (VIA SWS),2025-01-01T09:55:00+00:00,2025-01-01T10:10:00+00:00,0.25
WXW00879,BRISTOL PORTWAY NEAR RAILWAY,RIVER AVON VIA SWS,2025-01-01T09:58:00+00:00,2025-01-01T10:28:00+00:00,0.5
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),2025-01-01T10:14:00+00:00,2025-01-01T10:33:00+00:00,0.3167
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),2025-01-01T10:38:00+00:00,2025-01-01T10:42:00+00:00,0.0667
WXW00879,BRISTOL PORTWAY NEAR RAILWAY,RIVER AVON VIA SWS,2025-01-01T10:40:00+00:00,2025-01-01T11:12:00+00:00,0.5333
WXW00265,CHEW STOKE WALLEY COURT ROAD STORM TANK,RIVER CHEW,2025-01-01T11:04:00+00:00,2025-01-01T11:12:00+00:00,0.1333
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),2025-01-01T11:14:00+00:00,2025-01-01T11:16:00+00:00,0.0333
WXW00265,CHEW STOKE WALLEY COURT ROAD STORM TANK,RIVER CHEW,2025-01-01T11:16:00+00:00,2025-01-01T11:30:00+00:00,0.2333
WXW00831,BATHFORD OSTLING LANE,RIVER AVON,2025-01-01T11:18:00+00:00,2025-01-01T11:24:00+00:00,0.1
WXW00831,BATHFORD OSTLING LANE,RIVER AVON,2025-01-01T11:26:00+00:00,2025-01-01T11:32:00+00:00,0.1
WXW00265,CHEW STOKE WALLEY COURT ROAD STORM TANK,RIVER CHEW,2025-01-01T11:34:00+00:00,2025-01-01T11:46:00+00:00,0.2
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),2025-01-01T11:38:00+00:00,2025-01-01T11:39:00+00:00,0.0167
WXW00831,BATHFORD OSTLING LANE,RIVER AVON,2025-01-01T11:44:00+00:00,2025-01-01T12:40:00+00:00,0.9333
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),2025-01-01T11:45:00+00:00,2025-01-01T11:49:00+00:00,0.0667
WXW00265,CHEW STOKE WALLEY COURT ROAD STORM TANK,RIVER CHEW,2025-01-01T11:48:00+00:00,2025-01-01T12:30:00+00:00,0.7
WXW01122,KEYNSHAM THE HAMS,RIVER AVON,2025-01-01T11:53:03+00:00,2025-01-01T12:11:14+00:00,0.3031
WXW01122,KEYNSHAM THE HAMS,RIVER AVON,2025-01-01T12:11:39+00:00,2025-01-01T12:46:44+00:00,0.5847
WXW00686,BRADFORD-ON-AVON MARKET ST JUNCTION WITH CHURCH ST,RIVER AVON (VIA SWS),2025-01-01T12:20:00+00:00,2025-01-01T12:40:00+00:00,0.3333
WXW00636,BATH BATHEASTON BY-PASS,RIVER AVON VIA SWS,2025-01-01T12:22:00+00:00,2025-01-01T12:24:00+00:00,0.0333
WXW00636,BATH BATHEASTON BY-PASS,RIVER AVON VIA SWS,2025-01-01T12:28:00+00:00,2025-01-01T12:40:00+00:00,0.2
WXW01112,TETBURY STORM TANK,RIVER AVON,2025-01-01T12:30:00+00:00,2025-01-01T14:30:00+00:00,2.0
WXW01260,WILLSBRIDGE ,RIVER AVON,2025-01-01T12:30:00+00:00,2025-01-01T13:15:00+00:00,0.75
WXW00265,CHEW STOKE WALLEY COURT ROAD STORM TANK,RIVER CHEW,2025-01-01T12:32:00+00:00,2025-01-01T12:44:00+00:00,0.2
WXW00636,BATH BATHEASTON BY-PASS,RIVER AVON VIA SWS,2025-01-01T12:42:00+00:00,2025-01-01T12:46:00+00:00,0.0667
WXW00265,CHEW STOKE WALLEY COURT ROAD STORM TANK,RIVER CHEW,2025-01-01T12:48:00+00:00,2025-01-01T21:50:00+00:00,9.0333
