sample_date,actual_cfu_per_100ml,band_pred,band_abs_pct_error,outfall_pred,outfall_abs_pct_error,cso_rain_pred,cso_rain_abs_pct_error
2025-05-22,10.0,339.8,3298.0,161.5,1515.0,255.2,2452.0
2025-06-17,140.0,343.7,145.5,134.9,3.6,165.5,18.2
2025-07-09,85.0,282.9,232.8,139.6,64.2,112.5,32.4
2025-07-21,95.0,342.1,260.1,226.1,138.0,178.7,88.1
2025-07-26,620.0,288.3,53.5,118.6,80.9,141.4,77.2
2025-08-02,85.0,395.2,364.9,84.8,0.2,210.4,147.5
2025-08-09,490.0,246.0,49.8,123.8,74.7,101.7,79.2
2025-08-16,145.0,260.3,79.5,134.6,7.2,113.0,22.1
2025-08-23,20.0,266.0,1230.0,154.1,670.5,155.1,675.5
2025-08-30,20.0,325.7,1528.5,61.1,205.5,191.3,856.5
2025-09-06,470.0,355.2,24.4,536.9,14.2,138.4,70.6
2025-09-13,1000.0,388.2,61.2,821.6,17.8,213.1,78.7
2025-09-20,100.0,282.1,182.1,66.6,33.4,103.7,3.7
2025-09-27,1000.0,197.7,80.2,117.9,88.2,84.2,91.6
2025-10-04,240.0,313.9,30.8,130.0,45.8,156.0,35.0
2025-10-11,110.0,262.9,139.0,137.1,24.6,117.5,6.8
2025-10-18,220.0,254.4,15.6,130.8,40.5,110.2,49.9
2025-10-25,180.0,407.1,126.2,188.2,4.6,215.0,19.4
2025-11-01,330.0,350.4,6.2,341.8,3.6,170.4,48.4
2025-11-08,370.0,349.4,5.6,126.2,65.9,181.9,50.8
2025-11-22,1000.0,332.5,66.8,117.9,88.2,188.5,81.2
2025-11-29,10.0,292.7,2827.0,161.5,1515.0,157.8,1478.0
2025-12-04,450.0,782.5,73.9,665.8,48.0,672.3,49.4
2025-12-11,1000.0,913.9,8.6,858.3,14.2,1019.3,1.9
2025-12-18,1000.0,911.2,8.9,958.5,4.2,991.4,0.9
