site_id,site_name,receiving_watercourse,in_conham_filter,outfall_lat,outfall_lon,distance_miles,upstream,event_start,event_end,duration_hours
WXW00686,BRADFORD-ON-AVON MARKET ST JUNCTION WITH CHURCH ST,RIVER AVON (VIA SWS),True,51.34791074,-2.251289209,13.938,True,2025-05-21T02:44:00+00:00,2025-05-21T02:54:00+00:00,0.17
WXW00964,MELKSHAM BATH ROAD OFF ROAD F/O SCOUT HALL,CLACKERS BROOK,False,51.37611703,-2.138500273,17.728,True,2025-05-21T12:50:00+00:00,2025-05-21T13:22:00+00:00,0.53
WXW00686,BRADFORD-ON-AVON MARKET ST JUNCTION WITH CHURCH ST,RIVER AVON (VIA SWS),True,51.34791074,-2.251289209,13.938,True,2025-05-21T16:18:00+00:00,2025-05-21T16:42:00+00:00,0.4
WXW01127,HOLT THE STAR,TRIBUTARY OF THE RIVER AVON,False,51.35396093,-2.195402024,15.922,True,2025-05-21T16:32:00+00:00,2025-05-21T16:46:00+00:00,0.23
WXW00184,CHIPPENHAM BRISTOL ROAD,HARDENHUISH BROOK,False,51.46403164,-2.128876778,17.528,True,2025-05-21T17:08:00+00:00,2025-05-21T17:10:00+00:00,0.03
WXW00355,CHIPPENHAM HIGH STREET O/S 6,RIVER AVON(S),False,51.45865915,-2.115893157,18.063,True,2025-05-21T17:08:00+00:00,2025-05-21T17:30:00+00:00,0.37
WXW00980,MELKSHAM SHAW C OF E SCHOOL PLAYING FIELD,SOUTH BROOK,False,51.39149809,-2.162591668,16.457,True,2025-05-21T17:12:00+00:00,2025-05-21T17:40:00+00:00,0.47
WXW00699,CLUTTON MAYPOLE FARM,TRIB OF THE CAM BROOK,False,51.33044236,-2.544331862,7.916,False,2025-05-21T17:14:00+00:00,2025-05-21T17:30:00+00:00,0.27
WXW00964,MELKSHAM BATH ROAD OFF ROAD F/O SCOUT HALL,CLACKERS BROOK,False,51.37611703,-2.138500273,17.728,True,2025-05-21T17:22:00+00:00,2025-05-21T19:24:00+00:00,2.03
WXW00971,MELKSHAM SEMINGTON ROAD O/S POLICE STATION,RIVER AVON(S),False,51.36640375,-2.140252169,17.849,True,2025-05-21T17:22:00+00:00,2025-05-21T18:00:00+00:00,0.63
WXW00707,MELKSHAM INLET,RIVER AVON,True,51.37544939,-2.14770772,17.359,True,2025-05-21T17:30:00+00:00,2025-05-21T18:36:00+00:00,1.1
WXW00159,BOWERHILL SHAILS LANE INLET,BERRYFIELD STREAM(S),False,51.35973275,-2.139441862,18.029,True,2025-05-21T17:34:00+00:00,2025-05-21T17:42:00+00:00,0.13
WXW00304,CLUTTON GREENBROOK,TRIB OF CAM BROOK,False,51.32877615,-2.537121344,8.021,False,2025-05-21T17:34:00+00:00,2025-05-21T17:54:00+00:00,0.33
WXW00952,SALTFORD O/S 46 HIGH STREET,RIVER AVON (VIA SWS),True,51.40500879,-2.452141868,4.502,True,2025-05-25T02:02:00+00:00,2025-05-25T02:10:00+00:00,0.13
WXW00924,BATH RECREATION GROUND BY NORTH STAND,RIVER AVON,True,51.38273558,-2.355717322,8.831,True,2025-05-25T02:14:00+00:00,2025-05-25T02:30:00+00:00,0.27
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-05-27T01:12:00+00:00,2025-05-27T01:22:00+00:00,0.17
WXW00766,BRISTOL MULLER ROAD R/O HORFIELD UNITED REFORM CHURCH,HORFIELD BROOK (S),False,51.48449773,-2.578668768,3.326,False,2025-05-27T01:13:00+00:00,2025-05-27T01:29:00+00:00,0.27
WXW00036,BRISTOL WELLS ROAD O/S NO 424,BRISLINGTON BROOK VIA SWS,False,51.4287122,-2.563968004,1.68,False,2025-05-27T01:28:00+00:00,2025-05-27T01:30:00+00:00,0.03
WXW00767,BRISTOL MYRTLE ST IN CAR PARK,RIVER AVON VIA SWS (ESTUARINE),False,51.44054017,-2.60819821,3.175,False,2025-05-27T01:28:00+00:00,2025-05-27T01:50:00+00:00,0.37
WXW00864,BRISTOL HANHAM POLLY BARNES HILL,RIVER AVON (VIA SWS),True,51.449659,-2.52216188,0.638,True,2025-05-27T01:30:00+00:00,2025-05-27T01:50:00+00:00,0.33
WXW00406,BATH ENGLISHCOMBE LANE / SOUTHDOWN ROAD JUNCTION,RIVER AVON (S),False,51.36731503,-2.389484506,8.243,True,2025-05-27T01:42:00+00:00,2025-05-27T02:04:00+00:00,0.37
WXW00826,BATH DURLEY PARK / OLDFIELD LANE JUNCTION,RIVER AVON VIA SWS,True,51.37309972,-2.374807761,8.493,True,2025-05-27T01:44:00+00:00,2025-05-27T02:06:00+00:00,0.37
WXW00119,BATH BECKHAMPTON ROAD O/S NO 50,RIVER AVON VIA SWS,True,51.37412477,-2.377617692,8.354,True,2025-05-27T01:48:00+00:00,2025-05-27T01:56:00+00:00,0.13
WXW00754,BATH MOORLAND ROAD NEAR NO 49,RIVER AVON(S),False,51.37653337,-2.377996702,8.244,True,2025-05-27T01:48:00+00:00,2025-05-27T02:04:00+00:00,0.27
WXW00549,BATH HISCOCKS DRIVE ADJ TO RAILWAY BRIDGE,RIVER AVON VIA SWS,True,51.37211358,-2.373880263,8.566,True,2025-05-27T01:48:00+00:00,2025-05-27T02:00:00+00:00,0.2
WXW01119,WICK THE GREEN,THE RIVER BOYD (S),False,51.45167716,-2.440111025,4.105,True,2025-05-27T01:48:00+00:00,2025-05-27T01:52:00+00:00,0.07
WXW00648,BATH LOWER BRISTOL ROAD WEST OF OAK STREET ,RIVER AVON,True,51.37829992,-2.365352793,8.63,True,2025-05-27T01:50:00+00:00,2025-05-27T01:54:00+00:00,0.07
WXW00924,BATH RECREATION GROUND BY NORTH STAND,RIVER AVON,True,51.38273558,-2.355717322,8.831,True,2025-05-27T01:54:00+00:00,2025-05-27T02:12:00+00:00,0.3
WXW00408,BATH ENTRY HILL GARDENS R/G NO 6 (LYNCOMBE VALE),THE RIVER AVON,False,51.36781734,-2.364723499,9.06,True,2025-05-27T01:54:00+00:00,2025-05-27T02:12:00+00:00,0.3
WXW01211,BATH WELLSWAY NR 372,RIVER AVON,True,51.36051886,-2.372363948,9.11,True,2025-05-27T01:56:00+00:00,2025-05-27T02:06:00+00:00,0.17
WXW00184,CHIPPENHAM BRISTOL ROAD,HARDENHUISH BROOK,False,51.46403164,-2.128876778,17.528,True,2025-05-27T01:58:00+00:00,2025-05-27T02:04:00+00:00,0.1
WXW00126,BATH BELLOTTS ROAD,RIVER AVON VIA SWS,True,51.38182417,-2.382437316,7.879,True,2025-05-27T01:58:00+00:00,2025-05-27T02:00:00+00:00,0.03
WXW00150,BATH BLOOMFIELD ROAD NO 33 JUNCTION WITH HENSLEY ROAD,RIVER AVON VIA SWS,True,51.37002139,-2.36726937,8.881,True,2025-05-27T02:00:00+00:00,2025-05-27T02:12:00+00:00,0.2
WXW00888,BATH PRIOR PARK ROAD,RIVER AVON VIA SWS,True,51.37356999,-2.35070411,9.339,True,2025-05-27T02:02:00+00:00,2025-05-27T02:16:00+00:00,0.23
WXW00458,CHIPPENHAM GASTONS ROAD,HARDENHUISH BROOK,False,51.46211081,-2.125747755,17.653,True,2025-05-27T02:02:00+00:00,2025-05-27T02:24:00+00:00,0.37
WXW00184,CHIPPENHAM BRISTOL ROAD,HARDENHUISH BROOK,False,51.46403164,-2.128876778,17.528,True,2025-05-27T02:06:00+00:00,2025-05-27T02:10:00+00:00,0.07
WXW00729,MONKTON COMBE MILL LANE,MIDFORD BROOK (VIA SWS),False,51.3565886,-2.32746681,10.82,True,2025-05-27T02:08:00+00:00,2025-05-27T02:22:00+00:00,0.23
WXW00355,CHIPPENHAM HIGH STREET O/S 6,RIVER AVON(S),False,51.45865915,-2.115893157,18.063,True,2025-05-27T02:08:00+00:00,2025-05-27T02:20:00+00:00,0.2
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),True,51.3787231,-2.49925566,4.82,True,2025-05-27T02:35:00+00:00,2025-05-27T02:37:00+00:00,0.03
WXW00766,BRISTOL MULLER ROAD R/O HORFIELD UNITED REFORM CHURCH,HORFIELD BROOK (S),False,51.48449773,-2.578668768,3.326,False,2025-05-27T11:05:00+00:00,2025-05-27T11:16:00+00:00,0.18
WXW00766,BRISTOL MULLER ROAD R/O HORFIELD UNITED REFORM CHURCH,HORFIELD BROOK (S),False,51.48449773,-2.578668768,3.326,False,2025-05-27T12:53:00+00:00,2025-05-27T15:42:00+00:00,2.82
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-05-27T13:00:00+00:00,2025-05-27T13:04:00+00:00,0.07
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-05-27T13:06:00+00:00,2025-05-27T13:08:00+00:00,0.03
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-05-27T13:12:00+00:00,2025-05-27T13:20:00+00:00,0.13
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-05-27T13:22:00+00:00,2025-05-27T13:24:00+00:00,0.03
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-05-27T13:26:00+00:00,2025-05-27T13:56:00+00:00,0.5
WXW01288,BRISTOL WORDSWORTH ROAD ATTENUATION TANK,THE HORFIELD BROOK,False,51.4895722,-2.572539575,3.49,False,2025-05-27T13:34:00+00:00,2025-05-27T14:08:00+00:00,0.57
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-05-27T14:06:00+00:00,2025-05-27T14:08:00+00:00,0.03
WXW01288,BRISTOL WORDSWORTH ROAD ATTENUATION TANK,THE HORFIELD BROOK,False,51.4895722,-2.572539575,3.49,False,2025-05-27T14:14:00+00:00,2025-05-27T14:54:00+00:00,0.67
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-05-27T14:16:00+00:00,2025-05-27T14:44:00+00:00,0.47
WXW01203,BRISTOL WELLINGTON HILL WEST NO 158,TRIB OF RIVER TRYM VIA SWS,False,51.49224288,-2.599508837,4.298,False,2025-05-27T14:30:00+00:00,2025-05-27T14:40:00+00:00,0.17
WXW00015,BRISTOL CRANBROOK ROAD O/S NO 2,RIVER AVON VIA SWS (ESTUARINE),False,51.47049867,-2.594616656,3.125,False,2025-05-27T14:32:00+00:00,2025-05-27T14:34:00+00:00,0.03
WXW00338,BRISTOL CRANBROOK ROAD O/S NO.67,CRANBROOK VIA SWS,False,51.47315178,-2.598049116,3.352,False,2025-05-27T14:32:00+00:00,2025-05-27T14:38:00+00:00,0.1
WXW00015,BRISTOL CRANBROOK ROAD O/S NO 2,RIVER AVON VIA SWS (ESTUARINE),False,51.47049867,-2.594616656,3.125,False,2025-05-27T14:38:00+00:00,2025-05-27T14:40:00+00:00,0.03
WXW00015,BRISTOL CRANBROOK ROAD O/S NO 2,RIVER AVON VIA SWS (ESTUARINE),False,51.47049867,-2.594616656,3.125,False,2025-05-27T14:42:00+00:00,2025-05-27T14:44:00+00:00,0.03
WXW00864,BRISTOL HANHAM POLLY BARNES HILL,RIVER AVON (VIA SWS),True,51.449659,-2.52216188,0.638,True,2025-05-27T14:45:00+00:00,2025-05-27T15:05:00+00:00,0.33
WXW00767,BRISTOL MYRTLE ST IN CAR PARK,RIVER AVON VIA SWS (ESTUARINE),False,51.44054017,-2.60819821,3.175,False,2025-05-27T14:46:00+00:00,2025-05-27T15:10:00+00:00,0.4
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-05-27T14:46:00+00:00,2025-05-27T14:48:00+00:00,0.03
WXW00015,BRISTOL CRANBROOK ROAD O/S NO 2,RIVER AVON VIA SWS (ESTUARINE),False,51.47049867,-2.594616656,3.125,False,2025-05-27T14:46:00+00:00,2025-05-27T14:48:00+00:00,0.03
WXW00330,BRISTOL COTHAM HILL / HAMPTON PARK,RIVER AVON VIA SWS (ESTUARINE),False,51.46414323,-2.608295994,3.433,False,2025-05-27T14:48:00+00:00,2025-05-27T15:00:00+00:00,0.2
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-05-27T14:52:00+00:00,2025-05-27T14:56:00+00:00,0.07
WXW00589,KEYNSHAM HIGH LEVEL PS AVON MILL LANE,RIVER CHEW,True,51.41509871,-2.494201826,2.7,True,2025-05-27T14:56:00+00:00,2025-05-27T17:12:00+00:00,2.27
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-05-27T14:58:00+00:00,2025-05-27T15:02:00+00:00,0.07
WXW00924,BATH RECREATION GROUND BY NORTH STAND,RIVER AVON,True,51.38273558,-2.355717322,8.831,True,2025-05-27T15:02:00+00:00,2025-05-27T15:06:00+00:00,0.07
WXW01260,WILLSBRIDGE ,RIVER AVON,True,51.42875006,-2.487344,2.328,True,2025-05-27T15:04:00+00:00,2025-05-27T16:50:00+00:00,1.77
WXW00864,BRISTOL HANHAM POLLY BARNES HILL,RIVER AVON (VIA SWS),True,51.449659,-2.52216188,0.638,True,2025-05-27T15:22:00+00:00,2025-05-27T15:23:00+00:00,0.02
WXW00405,BRISTOL ELLESMERE ROAD R/O 15 AND 16,TRIB OF THE BRISLINGTON BROOK,False,51.4269522,-2.554036022,1.489,False,2025-05-27T15:22:00+00:00,2025-05-27T16:10:00+00:00,0.8
WXW00864,BRISTOL HANHAM POLLY BARNES HILL,RIVER AVON (VIA SWS),True,51.449659,-2.52216188,0.638,True,2025-05-27T15:24:00+00:00,2025-05-27T15:29:00+00:00,0.08
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),True,51.3787231,-2.49925566,4.82,True,2025-05-27T15:25:00+00:00,2025-05-27T15:31:00+00:00,0.1
WXW00864,BRISTOL HANHAM POLLY BARNES HILL,RIVER AVON (VIA SWS),True,51.449659,-2.52216188,0.638,True,2025-05-27T15:31:00+00:00,2025-05-27T15:33:00+00:00,0.03
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),True,51.3787231,-2.49925566,4.82,True,2025-05-27T15:36:00+00:00,2025-05-27T15:44:00+00:00,0.13
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),True,51.3787231,-2.49925566,4.82,True,2025-05-27T15:50:00+00:00,2025-05-27T15:54:00+00:00,0.07
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),True,51.3787231,-2.49925566,4.82,True,2025-05-27T16:01:00+00:00,2025-05-27T16:02:00+00:00,0.02
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),True,51.3787231,-2.49925566,4.82,True,2025-05-27T16:10:00+00:00,2025-05-27T16:11:00+00:00,0.02
WXW00405,BRISTOL ELLESMERE ROAD R/O 15 AND 16,TRIB OF THE BRISLINGTON BROOK,False,51.4269522,-2.554036022,1.489,False,2025-05-27T16:50:00+00:00,2025-05-27T16:58:00+00:00,0.13
WXW00894,PUCKLECHURCH STORM TANK,FELTHAM BROOK,False,51.47970742,-2.417167718,5.608,True,2025-05-27T17:27:00+00:00,2025-05-27T20:01:00+00:00,2.57
WXW00894,PUCKLECHURCH STORM TANK,FELTHAM BROOK,False,51.47970742,-2.417167718,5.608,True,2025-05-27T20:02:00+00:00,2025-05-27T20:04:00+00:00,0.03
WXW00894,PUCKLECHURCH STORM TANK,FELTHAM BROOK,False,51.47970742,-2.417167718,5.608,True,2025-05-27T20:05:00+00:00,2025-05-27T20:06:00+00:00,0.02
WXW00894,PUCKLECHURCH STORM TANK,FELTHAM BROOK,False,51.47970742,-2.417167718,5.608,True,2025-05-27T20:13:00+00:00,2025-05-27T20:14:00+00:00,0.02
WXW00766,BRISTOL MULLER ROAD R/O HORFIELD UNITED REFORM CHURCH,HORFIELD BROOK (S),False,51.48449773,-2.578668768,3.326,False,2025-06-03T07:06:00+00:00,2025-06-03T07:09:00+00:00,0.05
WXW00019,BRISTOL HENLEAZE ROAD O/S EASTFIELD INN,TRIB OF RIVER TRYM VIA SWS,False,51.48917684,-2.608211379,4.4,False,2025-06-03T10:04:00+00:00,2025-06-03T10:06:00+00:00,0.03
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-06-03T10:06:00+00:00,2025-06-03T10:24:00+00:00,0.3
WXW00139,BRISTOL WELLINGTON HILL WEST / BISHOPTHORPE ROAD,TRIB OF RIVER TRYM VIA SWS,False,51.49121014,-2.595721481,4.139,False,2025-06-03T10:06:00+00:00,2025-06-03T10:12:00+00:00,0.1
WXW00329,BRISTOL COTHAM BROW O/S NO 137,RIVER AVON(E),False,51.46861489,-2.593728365,3.021,False,2025-06-03T10:08:00+00:00,2025-06-03T10:18:00+00:00,0.17
