sample_date,e_coli_cfu_per_100ml,intestinal_enterococci_cfu_per_100ml,value_note,source
2025-05-22,10,10,,https://www.conhambathing.co.uk/sampling
2025-06-17,140,8,,https://www.conhambathing.co.uk/sampling
2025-07-09,85,8,,https://www.conhambathing.co.uk/sampling
2025-07-21,95,10,,https://www.conhambathing.co.uk/sampling
2025-07-26,620,90,,https://www.conhambathing.co.uk/sampling
2025-08-02,85,80,,https://www.conhambathing.co.uk/sampling
2025-08-09,490,160,,https://www.conhambathing.co.uk/sampling
2025-08-16,145,220,,https://www.conhambathing.co.uk/sampling
2025-08-23,20,30,,https://www.conhambathing.co.uk/sampling
2025-08-30,20,70,,https://www.conhambathing.co.uk/sampling
2025-09-06,470,460,,https://www.conhambathing.co.uk/sampling
2025-09-13,1000,620,,https://www.conhambathing.co.uk/sampling
2025-09-20,100,620,,https://www.conhambathing.co.uk/sampling
2025-09-27,1000,250,,https://www.conhambathing.co.uk/sampling
2025-10-04,240,50,,https://www.conhambathing.co.uk/sampling
2025-10-11,110,10,,https://www.conhambathing.co.uk/sampling
2025-10-18,220,10,,https://www.conhambathing.co.uk/sampling
2025-10-25,180,70,,https://www.conhambathing.co.uk/sampling
2025-11-01,330,160,,https://www.conhambathing.co.uk/sampling
2025-11-08,370,370,,https://www.conhambathing.co.uk/sampling
2025-11-22,1000,320,,https://www.conhambathing.co.uk/sampling
2025-11-29,10,10,,https://www.conhambathing.co.uk/sampling
2025-12-04,450,160,,https://www.conhambathing.co.uk/sampling
2025-12-11,1000,1000,lab maximum shown as >1000 on source page when exceeded,https://www.conhambathing.co.uk/sampling
2025-12-18,1000,1000,lab maximum shown as >1000 on source page when exceeded,https://www.conhambathing.co.uk/sampling
