date,precipitation_mm,rain_mm,temp_mean_c,temp_max_c,temp_min_c
2025-05-14,0.0,0.0,14.3,20.6,7.5
2025-05-15,0.0,0.0,12.0,17.4,6.4
2025-05-16,0.0,0.0,13.6,19.5,7.2
2025-05-17,0.0,0.0,12.4,17.2,7.2
2025-05-18,0.0,0.0,13.0,17.7,7.3
2025-05-19,0.4,0.4,12.2,16.5,7.1
2025-05-20,0.1,0.1,14.1,19.5,6.8
2025-05-21,15.2,15.2,13.0,17.6,10.1
2025-05-22,0.3,0.3,13.6,18.1,7.9
2025-05-23,0.3,0.3,13.7,18.2,8.3
2025-05-24,5.6,5.6,15.4,17.5,12.9
2025-05-25,1.6,1.6,13.7,15.6,11.2
2025-05-26,5.0,5.0,13.0,16.4,10.4
2025-05-27,7.9,7.9,14.2,15.6,12.4
2025-05-28,2.4,2.4,14.1,16.5,12.3
2025-05-29,3.3,3.3,16.3,20.9,12.9
2025-05-30,0.5,0.5,16.5,20.9,13.8
2025-05-31,0.6,0.6,16.5,21.2,12.7
2025-06-01,0.8,0.8,14.1,17.1,11.1
2025-06-02,0.0,0.0,13.9,18.2,9.2
2025-06-03,4.0,4.0,13.4,16.7,11.0
2025-06-04,3.2,3.2,12.8,16.1,9.1
2025-06-05,6.0,6.0,13.1,16.2,11.1
2025-06-06,3.7,3.7,12.6,15.4,10.4
2025-06-07,7.9,7.9,11.8,15.0,9.4
2025-06-08,0.0,0.0,12.0,15.3,8.1
2025-06-09,1.0,1.0,13.9,17.2,10.3
2025-06-10,0.5,0.5,15.8,19.1,12.6
2025-06-11,0.0,0.0,17.2,22.7,9.9
2025-06-12,7.6,7.6,16.9,19.8,14.6
2025-06-13,0.1,0.1,18.7,24.0,14.8
2025-06-14,5.0,5.0,16.1,18.8,12.6
2025-06-15,0.0,0.0,15.1,18.1,11.5
2025-06-16,0.3,0.3,16.5,20.5,13.2
2025-06-17,0.0,0.0,16.1,20.9,11.6
2025-06-18,0.0,0.0,19.1,25.1,12.8
2025-06-19,0.0,0.0,22.0,29.5,13.4
2025-06-20,0.0,0.0,22.8,29.0,17.1
2025-06-21,0.7,0.7,23.0,29.2,16.1
2025-06-22,3.3,3.3,18.2,21.6,15.0
2025-06-23,0.8,0.8,15.7,17.9,12.8
2025-06-24,2.2,2.2,17.3,21.6,14.1
2025-06-25,0.4,0.4,19.1,23.1,16.0
2025-06-26,2.7,2.7,16.8,18.9,14.9
2025-06-27,2.0,2.0,19.6,26.1,13.5
2025-06-28,0.6,0.6,20.7,25.5,17.4
2025-06-29,0.1,0.1,20.8,25.5,17.1
2025-06-30,0.0,0.0,22.7,29.8,15.4
2025-07-01,0.0,0.0,21.5,26.5,17.5
2025-07-02,0.1,0.1,18.1,22.1,14.1
2025-07-03,0.0,0.0,16.6,21.7,10.6
2025-07-04,0.0,0.0,17.5,22.9,12.3
2025-07-05,3.4,3.4,17.2,20.0,15.0
2025-07-06,1.8,1.8,17.6,20.7,15.5
2025-07-07,1.9,1.9,16.6,22.2,12.5
2025-07-08,0.0,0.0,16.4,21.4,11.5
2025-07-09,0.0,0.0,19.8,26.8,11.5
2025-07-10,0.0,0.0,23.0,29.0,15.6
2025-07-11,0.0,0.0,24.8,31.4,17.6
2025-07-12,0.0,0.0,24.5,31.1,17.5
2025-07-13,0.0,0.0,22.6,28.6,16.4
2025-07-14,0.2,0.2,19.1,23.2,15.4
2025-07-15,4.9,4.9,16.1,20.2,13.4
2025-07-16,1.4,1.4,18.4,22.5,13.9
2025-07-17,1.8,1.8,20.1,22.9,17.2
2025-07-18,1.0,1.0,19.0,22.7,16.2
2025-07-19,1.2,1.2,18.4,22.6,15.5
2025-07-20,7.9,7.9,16.9,19.9,12.9
2025-07-21,0.8,0.8,16.0,19.9,10.9
2025-07-22,0.6,0.6,17.4,21.0,14.9
2025-07-23,1.1,1.1,17.6,21.2,14.1
2025-07-24,0.3,0.3,18.1,22.5,12.5
2025-07-25,0.0,0.0,19.2,24.1,14.1
2025-07-26,0.8,0.8,18.7,22.8,16.0
2025-07-27,1.0,1.0,16.3,19.1,14.1
2025-07-28,0.3,0.3,17.1,22.1,11.4
2025-07-29,4.4,4.4,17.5,21.3,13.1
2025-07-30,0.5,0.5,18.1,22.4,14.4
2025-07-31,17.5,17.5,17.9,20.8,14.2
2025-08-01,0.2,0.2,15.3,19.4,11.4
2025-08-02,0.0,0.0,15.8,21.0,10.6
2025-08-03,0.7,0.7,17.7,22.1,13.0
2025-08-04,4.8,4.8,17.9,21.0,14.8
2025-08-05,0.0,0.0,15.9,19.5,12.1
2025-08-06,0.0,0.0,16.3,21.8,10.4
2025-08-07,2.6,2.6,16.7,20.2,13.2
2025-08-08,0.0,0.0,16.8,20.6,13.5
2025-08-09,0.2,0.2,16.9,21.6,12.5
2025-08-10,0.0,0.0,18.9,25.0,12.8
2025-08-11,0.0,0.0,20.6,27.3,12.7
2025-08-12,0.4,0.4,23.2,31.1,16.5
2025-08-13,0.0,0.0,19.4,25.1,15.1
2025-08-14,0.6,0.6,19.2,23.2,15.4
2025-08-15,0.0,0.0,20.9,27.2,14.0
2025-08-16,0.0,0.0,19.6,24.5,15.9
2025-08-17,0.0,0.0,18.2,24.9,11.2
2025-08-18,0.0,0.0,18.9,22.6,15.8
2025-08-19,0.1,0.1,19.1,23.0,15.1
2025-08-20,0.3,0.3,15.9,18.2,13.3
2025-08-21,0.0,0.0,15.2,19.6,10.8
2025-08-22,0.0,0.0,15.8,21.5,8.3
2025-08-23,0.0,0.0,17.7,22.1,12.9
2025-08-24,0.0,0.0,18.3,23.2,13.5
2025-08-25,0.0,0.0,19.7,26.1,13.1
2025-08-26,9.2,9.2,17.7,21.3,14.9
2025-08-27,8.7,8.7,15.8,19.1,12.4
2025-08-28,7.6,7.6,14.8,19.0,11.4
2025-08-29,13.5,13.5,15.2,18.4,11.9
2025-08-30,4.7,4.7,15.5,18.4,11.9
2025-08-31,2.4,2.4,15.0,17.7,12.4
2025-09-01,1.7,1.7,15.1,18.8,12.6
2025-09-02,1.4,1.4,15.0,19.5,11.4
2025-09-03,14.6,14.6,16.2,19.0,13.7
2025-09-04,0.8,0.8,14.3,17.1,12.2
2025-09-05,1.0,1.0,14.7,18.6,11.1
2025-09-06,0.0,0.0,16.6,20.8,11.9
2025-09-07,6.4,6.4,17.5,21.0,13.2
2025-09-08,2.1,2.1,13.3,17.5,10.6
2025-09-09,2.1,2.1,13.9,16.9,10.6
2025-09-10,8.0,8.0,13.9,16.2,11.9
2025-09-11,3.6,3.6,12.5,15.4,10.8
2025-09-12,5.7,5.7,12.2,15.9,9.9
2025-09-13,1.2,1.2,12.4,15.6,10.2
2025-09-14,6.1,6.1,12.7,17.0,8.3
2025-09-15,2.4,2.4,13.9,15.8,12.5
2025-09-16,1.2,1.2,13.3,15.9,11.4
2025-09-17,6.9,6.9,15.8,18.0,11.9
2025-09-18,2.5,2.5,17.6,20.5,16.3
2025-09-19,0.0,0.0,16.6,21.1,13.4
2025-09-20,3.9,3.9,14.6,17.8,10.6
2025-09-21,0.0,0.0,10.4,13.5,7.4
2025-09-22,0.0,0.0,8.8,13.8,4.4
2025-09-23,0.0,0.0,9.4,15.1,4.0
2025-09-24,0.0,0.0,10.4,15.5,6.2
2025-09-25,0.0,0.0,10.7,16.7,5.5
2025-09-26,0.1,0.1,10.1,14.9,5.1
2025-09-27,4.0,4.0,11.7,15.4,8.1
2025-09-28,3.8,3.8,13.3,16.4,9.6
2025-09-29,0.0,0.0,11.0,16.9,6.0
2025-09-30,0.0,0.0,11.6,16.8,7.3
2025-10-01,0.0,0.0,13.1,17.8,9.4
2025-10-02,4.8,4.8,13.6,17.5,10.1
2025-10-03,21.6,21.6,15.7,17.1,14.2
2025-10-04,3.0,3.0,11.4,13.7,8.6
2025-10-05,0.0,0.0,11.7,14.6,9.9
2025-10-06,0.0,0.0,13.3,16.4,10.4
2025-10-07,0.0,0.0,12.7,15.9,9.7
2025-10-08,0.7,0.7,13.1,16.9,8.9
2025-10-09,0.0,0.0,11.0,14.4,6.4
2025-10-10,0.0,0.0,12.3,14.9,8.4
2025-10-11,0.0,0.0,10.7,13.9,7.0
2025-10-12,0.0,0.0,8.7,13.4,4.6
2025-10-13,0.1,0.1,12.1,14.8,8.6
2025-10-14,0.0,0.0,11.8,13.2,10.5
2025-10-15,0.0,0.0,10.3,11.4,9.1
