date,precipitation_mm,rain_mm,temp_mean_c,temp_max_c,temp_min_c
2025-05-14,0.0,0.0,14.7,20.7,8.5
2025-05-15,0.0,0.0,12.8,17.8,7.4
2025-05-16,0.0,0.0,14.4,20.5,7.9
2025-05-17,0.0,0.0,13.3,18.2,7.6
2025-05-18,0.0,0.0,13.9,19.3,7.9
2025-05-19,0.2,0.2,13.0,17.0,7.8
2025-05-20,0.9,0.9,14.9,20.5,8.4
2025-05-21,16.9,16.9,13.9,18.4,10.6
2025-05-22,0.0,0.0,14.5,19.2,9.4
2025-05-23,0.7,0.7,14.2,18.6,8.9
2025-05-24,4.3,4.3,15.4,17.4,13.5
2025-05-25,2.3,2.3,14.1,16.1,11.9
2025-05-26,6.3,6.3,13.3,16.5,11.3
2025-05-27,10.4,10.4,14.4,15.8,12.8
2025-05-28,3.1,3.1,14.4,16.6,12.4
2025-05-29,3.9,3.9,16.0,19.7,13.1
2025-05-30,0.6,0.6,16.5,20.7,14.1
2025-05-31,0.3,0.3,16.5,20.5,13.6
2025-06-01,0.7,0.7,14.3,17.4,11.6
2025-06-02,0.0,0.0,13.9,18.0,9.9
2025-06-03,5.3,5.3,13.6,16.2,11.4
2025-06-04,1.6,1.6,13.2,16.2,9.8
2025-06-05,5.6,5.6,13.4,16.6,11.3
2025-06-06,4.7,4.7,12.9,15.4,10.8
2025-06-07,7.5,7.5,12.1,14.6,10.1
2025-06-08,0.0,0.0,12.3,15.2,8.9
2025-06-09,1.4,1.4,14.2,17.2,11.6
2025-06-10,1.6,1.6,15.8,18.6,13.0
2025-06-11,0.0,0.0,17.7,23.2,10.2
2025-06-12,6.1,6.1,17.2,20.1,15.1
2025-06-13,4.9,4.9,18.5,23.8,15.3
2025-06-14,2.0,2.0,16.1,18.4,13.2
2025-06-15,0.0,0.0,15.3,17.9,12.2
2025-06-16,0.4,0.4,16.4,20.0,13.5
2025-06-17,0.0,0.0,16.1,20.0,12.5
2025-06-18,0.0,0.0,18.6,24.1,13.5
2025-06-19,0.0,0.0,22.1,29.5,13.5
2025-06-20,0.0,0.0,23.2,29.2,17.9
2025-06-21,1.2,1.2,23.1,29.5,16.3
2025-06-22,3.6,3.6,18.0,20.4,15.6
2025-06-23,1.2,1.2,15.7,17.6,13.0
2025-06-24,3.0,3.0,17.4,20.5,14.7
2025-06-25,0.3,0.3,19.2,23.4,16.5
2025-06-26,3.7,3.7,16.8,18.5,15.1
2025-06-27,1.5,1.5,19.3,25.0,13.6
2025-06-28,0.9,0.9,20.2,23.8,17.5
2025-06-29,0.3,0.3,20.3,23.8,17.3
2025-06-30,0.3,0.3,22.5,29.6,15.6
