date,Conham,Hanham,Bristol (centre),Kingswood,Keynsham,Bristol Frome (Frenchay),Bradley Stoke,Portishead (tidal mouth),Nailsea,Pensford (Chew),Chew Magna,Blagdon (Chew head),Yate,Thornbury,Wotton-under-Edge,Bath,Marshfield (By Brook),Colerne,Corsham,Bradford-on-Avon,Radstock (Wellow Brook),Midsomer Norton (Somer),Frome (Somerset),Westbury,Trowbridge,Melksham,Chippenham,Calne (Marden),Devizes,Malmesbury (headwaters),Tetbury (source),catchment_max_mm_per_h,catchment_max_site,catchment_max_cape_j_per_kg,catchment_max_cape_site
2025-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-05-19,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,Frome (Somerset),0.0,Conham
2025-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Blagdon (Chew head),0.0,Conham
2025-05-21,2.5,2.2,2.5,3.3,2.2,2.4,1.7,2.4,3.0,6.1,6.1,4.9,1.4,1.2,0.8,2.1,5.1,2.5,1.1,6.7,2.0,2.0,2.7,1.4,4.6,1.6,1.1,1.2,1.2,6.7,4.5,6.7,Bradford-on-Avon,0.0,Conham
2025-05-22,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.7,0.1,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.7,Blagdon (Chew head),0.0,Conham
2025-05-23,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.2,0.1,0.3,0.5,0.2,0.5,Malmesbury (headwaters),0.0,Conham
2025-05-24,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.7,0.8,0.8,0.8,0.7,0.7,0.6,0.9,0.8,0.9,0.9,1.0,0.9,0.9,0.9,0.9,1.0,1.0,0.9,1.6,0.8,0.7,0.6,1.6,Calne (Marden),0.0,Conham
2025-05-25,1.1,1.2,1.1,0.6,1.2,2.4,0.5,0.8,0.9,1.1,1.1,1.4,0.6,0.8,0.9,1.7,1.3,0.8,3.3,3.4,1.7,1.7,2.7,2.0,4.1,0.9,3.3,3.3,1.1,0.8,0.7,4.1,Trowbridge,0.0,Conham
2025-05-26,3.2,2.0,3.2,0.7,2.0,2.6,3.8,1.9,1.7,1.9,1.9,0.8,0.9,1.1,0.9,2.1,1.4,2.6,0.4,1.8,0.6,0.6,0.7,0.5,0.9,2.6,0.4,0.3,1.5,0.4,0.7,3.8,Bradley Stoke,0.0,Conham
2025-05-27,1.9,2.4,1.9,2.6,2.4,2.1,2.1,2.4,2.4,1.8,1.8,2.6,1.9,2.3,1.8,1.4,1.9,2.2,2.7,1.3,1.6,1.6,1.7,4.3,1.3,2.1,2.7,2.3,1.6,1.5,1.5,4.3,Westbury,0.0,Conham
